,district,state,district_census_code,state_census_code,total,rural,urban
37,Hoshiarpur,Punjab,38,3,1.5,1.8,
69,Yamunanagar,Haryana,71,6,1.4,1.2,1.7
184,Sant Kabir Nagar,Uttar Pradesh,186,9,1.4,1.5,
7,Baramula,Jammu & Kashmir,8,1,1.4,1.7,
162,Kanpur Nagar,Uttar Pradesh,164,9,1.4,2.3,0.9
170,Fatehpur,Uttar Pradesh,172,9,1.3,1.0,
55,Chamoli,Uttarakhand,57,5,1.3,1.4,
28,Una,Himachal Pradesh,29,2,1.3,1.4,
171,Pratapgarh,Uttar Pradesh,173,9,1.3,1.3,
183,Basti,Uttar Pradesh,185,9,1.3,1.4,
84,Gurgaon,Haryana,86,6,1.3,4.3,0
67,Panchkula,Haryana,69,6,1.2,0.0,2.1
526,Sindhudurg,Maharashtra,529,27,1.2,1.3,
6,Kathua,Jammu & Kashmir,7,1,1.2,1.4,
378,Jagatsinghapur,Odisha,380,21,1.2,0.7,
13,Anantnag,Jammu & Kashmir,14,1,1.1,1.4,
173,Allahabad,Uttar Pradesh,175,9,1.1,1.4,
176,Ambedkar Nagar,Uttar Pradesh,178,9,1.1,1.3,
125,Kota,Rajasthan,127,8,1.1,0.5,1.4
625,Kanniyakumari,Tamil Nadu,629,33,1.0,,1.1
12,Shupiyan,Jammu & Kashmir,13,1,1.0,1.0,
96,South,NCT Delhi,98,7,1.0,,1
379,Cuttack,Odisha,381,21,0.9,0.0,
94,West,NCT Delhi,96,7,0.8,,0.8
1,Badgam,Jammu & Kashmir,2,1,0.8,1.0,
62,Almora,Uttarakhand,64,5,0.8,0.8,
38,Sahid Bhagat Singh Nagar,Punjab,39,3,0.8,1.0,*
155,Lucknow,Uttar Pradesh,157,9,0.8,1.9,0
596,Kollam,Kerala,600,32,0.8,0.0,-1.9
48,Amritsar,Punjab,49,3,0.7,1.3,0
22,Chamba,Himachal Pradesh,23,2,0.6,0.7,
93,Central,NCT Delhi,95,7,0.6,,0.6
168,Banda,Uttar Pradesh,170,9,0.6,0.8,
3,Kargil,Jammu & Kashmir,4,1,0.6,0.8,
599,Chennai,Tamil Nadu,603,33,0.5,,0.5
39,Fatehgarh Sahib,Punjab,40,3,0.5,0.0,-2.1
592,Idukki,Kerala,596,32,0.0,0.0,
260,Mokokchung,Nagaland,262,13,0.0,0.0,
593,Kottayam,Kerala,597,32,0.0,0.0,
9,Srinagar,Jammu & Kashmir,10,1,0.0,,0
477,Junagadh,Gujarat,479,24,0.0,0.0,0
632,Mahe,Puducherry,636,34,0.0,,0
23,Kangra,Himachal Pradesh,24,2,0.0,0.0,
57,Tehri Garhwal,Uttarakhand,59,5,0.0,0.0,
516,Mumbai,Maharashtra,519,27,0.0,,0
