district,state,district_census_code,state_census_code,total,rural,urban
East Garo Hills,Meghalaya,294,17,3589,3512,
South Garo Hills,Meghalaya,295,17,3792,3816,
West Khasi Hills,Meghalaya,296,17,2013,1902,
Ribhoi,Meghalaya,297,17,1943,2056,
East Khasi Hills,Meghalaya,298,17,2265,2278,2241
Jaintia Hills,Meghalaya,299,17,1942,1899,
Kokrajhar,Assam,300,18,3593,3654,
Dhubri,Assam,301,18,3599,3462,
Goalpara,Assam,302,18,2984,2651,
Barpeta,Assam,303,18,1998,2016,
Morigaon,Assam,304,18,2493,2389,
Nagaon,Assam,305,18,3336,2855,
Sonitpur,Assam,306,18,2850,2580,
Lakhimpur,Assam,307,18,3816,3574,
Dhemaji,Assam,308,18,3319,3475,
Tinsukia,Assam,309,18,2787,2455,
Dibrugarh,Assam,310,18,3792,4070,
Sivasagar,Assam,311,18,3262,3131,
Jorhat,Assam,312,18,3232,3178,
Golaghat,Assam,313,18,2050,1909,
Karbi Anglong,Assam,314,18,2814,2559,
Dima Hasao,Assam,315,18,3246,3357,
Cachar,Assam,316,18,4090,4058,
Karimganj,Assam,317,18,2777,2900,
Hailakandi,Assam,318,18,2626,2708,
Bongaigaon,Assam,319,18,2730,2424,
Chirang,Assam,320,18,2356,2272,
Kamrup,Assam,321,18,4061,3796,
Kamrup Metropolitan,Assam,322,18,3978,,4391
Nalbari,Assam,323,18,4229,4523,
Baksa,Assam,324,18,2988,2926,
Darrang,Assam,325,18,3026,2974,
Udalguri,Assam,326,18,3333,3268,
Darjiling,West Bengal,327,19,4311,4244,-4499
Jalpaiguri,West Bengal,328,19,3622,3621,
Koch Bihar,West Bengal,329,19,6268,6049,
Uttar Dinajpur,West Bengal,330,19,3700,4064,
Dakshin Dinajpur,West Bengal,331,19,10075,10493,
Maldah,West Bengal,332,19,2969,2802,
Murshidabad,West Bengal,333,19,31481,30998,
Birbhum,West Bengal,334,19,2579,2576,
Barddhaman,West Bengal,335,19,2677,2786,-2438
Nadia,West Bengal,336,19,3143,2751,
North Twenty Four Parganas,West Bengal,337,19,4259,3625,-4901
Hugli,West Bengal,338,19,2648,2588,-2753
Bankura,West Bengal,339,19,4896,4892,
Puruliya,West Bengal,340,19,1625,1565,
Haora,West Bengal,341,19,4738,-4575,-4839
Kolkata,West Bengal,342,19,20845,,20845
South Twenty Four Parganas,West Bengal,343,19,3742,4237,
Paschim Medinipur,West Bengal,344,19,2725,2484,
Purba Medinipur,West Bengal,345,19,19550,22297,
Garhwa,Jharkhand,346,20,2230,1889,
Chatra,Jharkhand,347,20,2985,2989,
Kodarma,Jharkhand,348,20,1777,1054,
Giridih,Jharkhand,349,20,1505,1546,
Deoghar,Jharkhand,350,20,981,998,
Godda,Jharkhand,351,20,1120,1102,
Sahibganj,Jharkhand,352,20,917,933,
Pakur,Jharkhand,353,20,721,793,
Dhanbad,Jharkhand,354,20,2213,2622,1944
Bokaro,Jharkhand,355,20,1958,1065,2935
Lohardaga,Jharkhand,356,20,1435,1384,
Purbi Singhbhum,Jharkhand,357,20,1149,1201,-1027
Palamu,Jharkhand,358,20,2978,2866,
Latehar,Jharkhand,359,20,965,1010,
Hazaribagh,Jharkhand,360,20,1431,1420,
Ramgarh,Jharkhand,361,20,1605,1697,1483
Dumka,Jharkhand,362,20,766,762,
Jamtara,Jharkhand,363,20,1015,977,
Ranchi,Jharkhand,364,20,1706,1716,1690
Khunti,Jharkhand,365,20,1326,1356,
Gumla,Jharkhand,366,20,1003,952,
Simdega,Jharkhand,367,20,1001,547,
Pashchimi Singhbhum,Jharkhand,368,20,919,776,
Saraikela Kharsawan,Jharkhand,369,20,1067,1057,
Bargarh,Odisha,370,21,5137,4893,
Jharsuguda,Odisha,371,21,4488,3901,5368
Sambalpur,Odisha,372,21,3790,3816,
Debagarh,Odisha,373,21,4263,4363,
Sundargarh,Odisha,374,21,3248,2833,4705
Kendujhar,Odisha,375,21,3813,3979,
Mayurbhanj,Odisha,376,21,3753,3830,
Baleshwar,Odisha,377,21,3401,3425,
Bhadrak,Odisha,378,21,4195,4120,
Kendrapara,Odisha,379,21,4831,4891,
Jagatsinghapur,Odisha,380,21,4870,4903,
Cuttack,Odisha,381,21,5590,4986,
Jajapur,Odisha,382,21,5142,4835,
Dhenkanal,Odisha,383,21,4457,4578,
Anugul,Odisha,384,21,3496,3619,
Nayagarh,Odisha,385,21,3733,3733,
Khordha,Odisha,386,21,4790,4373,5332
Puri,Odisha,387,21,6972,7338,
Ganjam,Odisha,388,21,5051,4828,
Gajapati,Odisha,389,21,2828,2890,
Kandhamal,Odisha,390,21,3026,2810,
Baudh,Odisha,391,21,3611,3595,
Subarnapur,Odisha,392,21,4878,4794,
Balangir,Odisha,393,21,4989,4863,
Nuapada,Odisha,394,21,4297,4400,
Kalahandi,Odisha,395,21,5133,4968,
Rayagada,Odisha,396,21,1849,1595,
Nabarangapur,Odisha,397,21,1787,1822,
Koraput,Odisha,398,21,2408,2102,
Malkangiri,Odisha,399,21,1454,1311,
Korea,Chhattisgarh,400,22,1631,1585,1748
Surguja,Chhattisgarh,401,22,1677,1503,
Jashpur,Chhattisgarh,402,22,932,890,
Raigarh,Chhattisgarh,403,22,5329,5769,
Korba,Chhattisgarh,404,22,935,615,1871
Janjgir Champa,Chhattisgarh,405,22,2075,2243,
Bilaspur,Chhattisgarh,406,22,1113,1050,
Kabirdham,Chhattisgarh,407,22,1431,1395,
Rajnandgaon,Chhattisgarh,408,22,865,860,
Durg,Chhattisgarh,409,22,2548,977,5230
Raipur,Chhattisgarh,410,22,1355,1273,1537
Mahasamund,Chhattisgarh,411,22,932,932,
Dhamtari,Chhattisgarh,412,22,889,919,
Uttar Bastar Kanker,Chhattisgarh,413,22,703,709,
Bastar,Chhattisgarh,414,22,489,427,
Narayanpur,Chhattisgarh,415,22,295,285,
Dakshin Bastar Dantewada,Chhattisgarh,416,22,765,622,
Bijapur,Chhattisgarh,417,22,323,343,
Sheopur,Madhya Pradesh,418,23,612,618,
Morena,Madhya Pradesh,419,23,566,587,
Bhind,Madhya Pradesh,420,23,717,749,
Gwalior,Madhya Pradesh,421,23,1623,1256,1846
Datia,Madhya Pradesh,422,23,1063,905,
Shivpuri,Madhya Pradesh,423,23,1637,1574,
Tikamgarh,Madhya Pradesh,424,23,2274,2538,
Chhatarpur,Madhya Pradesh,425,23,1209,1174,
Panna,Madhya Pradesh,426,23,1255,1285,
Sagar,Madhya Pradesh,427,23,2198,2213,
Damoh,Madhya Pradesh,428,23,1711,1611,
Satna,Madhya Pradesh,429,23,3568,4242,
Rewa,Madhya Pradesh,430,23,1377,948,
Umaria,Madhya Pradesh,431,23,886,917,
Neemuch,Madhya Pradesh,432,23,1211,1161,
Mandsaur,Madhya Pradesh,433,23,1225,1054,
Ratlam,Madhya Pradesh,434,23,1354,1592,
Ujjain,Madhya Pradesh,435,23,1933,1868,2064
Shajapur,Madhya Pradesh,436,23,1114,930,
Dewas,Madhya Pradesh,437,23,1586,867,
Dhar,Madhya Pradesh,438,23,1495,1614,
Indore,Madhya Pradesh,439,23,1804,,1902
Khargone (West Nimar),Madhya Pradesh,440,23,698,663,
Barwani,Madhya Pradesh,441,23,874,680,
Rajgarh,Madhya Pradesh,442,23,1586,1608,
Vidisha,Madhya Pradesh,443,23,1913,1958,
Bhopal,Madhya Pradesh,444,23,1497,,1782
Sehore,Madhya Pradesh,445,23,951,1071,
Raisen,Madhya Pradesh,446,23,1020,981,
Betul,Madhya Pradesh,447,23,793,722,
